congress,convened,bioguide,name,state,senate_class,party,party_raw,birthday,age_years,age_days,age_exact
4,1795-12-07,L000067,John Langdon,NH,3,Republican,Republican,1741-06-26,54,164,54.4481
4,1795-12-07,P000026,Elijah Paine,VT,3,Federalist,Federalist,1757-01-21,38,320,38.8767
4,1795-12-07,T000389,Jonathan Trumbull,CT,3,Federalist,Federalist,1740-03-26,55,256,55.6995
4,1795-12-07,F000313,Theodore Foster,RI,1,Federalist,Federalist,1752-04-29,43,222,43.6066
4,1795-12-07,L000115,Henry Latimer,DE,1,Federalist,Federalist,1752-04-24,43,227,43.6202
4,1795-12-07,M000226,Stevens Thomson Mason,VA,1,Republican,Republican,1760-12-29,34,343,34.9397
4,1795-12-07,R000448,James Ross,PA,1,Federalist,Federalist,1762-07-12,33,148,33.4044
4,1795-12-07,R000550,John Rutherfurd,NJ,1,Federalist,Federalist,1760-09-20,35,78,35.2131
4,1795-12-07,B000929,John Brown,KY,2,Republican,Republican,1757-09-12,38,86,38.235
4,1795-12-07,L000364,Samuel Livermore,NH,2,Federalist,Federalist,1732-05-14,63,207,63.5656
4,1795-12-07,J000017,James Jackson,GA,2,Republican,Republican,1757-09-21,38,77,38.2104
4,1795-12-07,B001186,Pierce Butler,SC,2,Republican,Republican,1744-07-11,51,149,51.4071
4,1795-12-07,K000212,Rufus King,NY,3,Federalist,Federalist,1755-03-24,40,258,40.7049
5,1797-05-15,B000739,William Bradford,RI,2,Federalist,Federalist,1729-11-04,67,192,67.526
5,1797-05-15,V000104,John Vining,DE,2,Federalist,Federalist,1758-12-23,38,143,38.3918
5,1797-05-15,T000107,Henry Tazewell,VA,2,Republican,Republican,1753-11-27,43,169,43.463
5,1797-05-15,B000474,William Bingham,PA,3,Federalist,Federalist,1752-03-08,45,68,45.1863
5,1797-05-15,G000526,James Gunn,GA,3,Federalist,Federalist,1753-03-13,44,63,44.1726
5,1797-05-15,L000067,John Langdon,NH,3,Republican,Republican,1741-06-26,55,323,55.8849
5,1797-05-15,P000026,Elijah Paine,VT,3,Federalist,Federalist,1757-01-21,40,114,40.3123
5,1797-05-15,B000570,William Blount,TN,2,Republican,Republican,1749-03-26,48,50,48.137
5,1797-05-15,G000286,Benjamin Goodhue,MA,1,Federalist,Federalist,1748-09-20,48,237,48.6493
5,1797-05-15,H000841,John Eager Howard,MD,1,Federalist,Federalist,1752-06-04,44,345,44.9452
5,1797-05-15,C000369,Nathaniel Chipman,VT,1,Federalist,Federalist,1752-11-15,44,181,44.4959
5,1797-05-15,F000313,Theodore Foster,RI,1,Republican,Republican,1752-04-29,45,16,45.0438
5,1797-05-15,L000115,Henry Latimer,DE,1,Federalist,Federalist,1752-04-24,45,21,45.0575
5,1797-05-15,M000226,Stevens Thomson Mason,VA,1,Republican,Republican,1760-12-29,36,137,36.3753
5,1797-05-15,R000448,James Ross,PA,1,Federalist,Federalist,1762-07-12,34,307,34.8411
5,1797-05-15,R000550,John Rutherfurd,NJ,1,Federalist,Federalist,1760-09-20,36,237,36.6493
5,1797-05-15,S000154,Philip John Schuyler,NY,1,Federalist,Federalist,1733-11-20,63,176,63.4822
5,1797-05-15,B000929,John Brown,KY,2,Republican,Republican,1757-09-12,39,245,39.6712
5,1797-05-15,G000427,Ray Greene,RI,2,Federalist,Federalist,1765-02-02,32,102,32.2795
5,1797-05-15,L000364,Samuel Livermore,NH,2,Federalist,Federalist,1732-05-14,65,1,65.0027
5,1797-05-15,S000222,Theodore Sedgwick,MA,2,Federalist,Federalist,1746-05-09,51,6,51.0164
5,1797-05-15,T000348,Uriah Tracy,CT,3,Federalist,Federalist,1755-02-02,42,102,42.2795
5,1797-05-15,A000197,Joseph Anderson,TN,2,Republican,Republican,1757-11-05,39,191,39.5233
5,1797-05-15,H000618,James Hillhouse,CT,1,Federalist,Federalist,1754-10-20,42,207,42.5671
5,1797-05-15,S000941,Richard Stockton,NJ,2,Federalist,Federalist,1764-04-17,33,28,33.0767
5,1797-05-15,J000005,Andrew Jackson,TN,1,Republican,Republican,1767-03-15,30,61,30.1671
6,1799-12-02,B000474,William Bingham,PA,3,Federalist,Federalist,1752-03-08,47,269,47.737
6,1799-12-02,G000526,James Gunn,GA,3,Federalist,Federalist,1753-03-13,46,264,46.7233
6,1799-12-02,L000067,John Langdon,NH,3,Republican,Republican,1741-06-26,58,159,58.4356
6,1799-12-02,P000026,Elijah Paine,VT,3,Federalist,Federalist,1757-01-21,42,315,42.863
6,1799-12-02,G000286,Benjamin Goodhue,MA,1,Federalist,Federalist,1748-09-20,51,73,51.2
6,1799-12-02,H000841,John Eager Howard,MD,1,Federalist,Federalist,1752-06-04,47,181,47.4959
6,1799-12-02,C000369,Nathaniel Chipman,VT,1,Federalist,Federalist,1752-11-15,47,17,47.0466
6,1799-12-02,F000313,Theodore Foster,RI,1,Republican,Republican,1752-04-29,47,217,47.5945
6,1799-12-02,L000115,Henry Latimer,DE,1,Federalist,Federalist,1752-04-24,47,222,47.6082
6,1799-12-02,M000226,Stevens Thomson Mason,VA,1,Republican,Republican,1760-12-29,38,338,38.926
6,1799-12-02,R000448,James Ross,PA,1,Federalist,Federalist,1762-07-12,37,143,37.3918
6,1799-12-02,W000202,James Watson,NY,1,Federalist,Federalist,1750-04-06,49,240,49.6575
6,1799-12-02,B000929,John Brown,KY,2,Republican,Republican,1757-09-12,42,81,42.2219
6,1799-12-02,D000165,Jonathan Dayton,NJ,2,Federalist,Federalist,1760-10-16,39,47,39.1288
6,1799-12-02,D000296,Samuel Dexter,MA,2,Federalist,Federalist,1761-05-14,38,202,38.5534
6,1799-12-02,G000427,Ray Greene,RI,2,Federalist,Federalist,1765-02-02,34,303,34.8301
6,1799-12-02,L000364,Samuel Livermore,NH,2,Federalist,Federalist,1732-05-14,67,202,67.5534
6,1799-12-02,T000348,Uriah Tracy,CT,3,Federalist,Federalist,1755-02-02,44,303,44.8301
6,1799-12-02,B000084,Abraham Baldwin,GA,2,Republican,Republican,1754-11-22,45,10,45.0274
6,1799-12-02,S000524,Daniel Smith,TN,1,Republican,Republican,1748-10-29,51,34,51.0932
6,1799-12-02,F000344,Jesse Franklin,NC,2,Republican,Republican,1760-03-24,39,253,39.6932
6,1799-12-02,A000197,Joseph Anderson,TN,1,Republican,Republican,1757-11-05,42,27,42.074
6,1799-12-02,H000618,James Hillhouse,CT,1,Federalist,Federalist,1754-10-20,45,43,45.1178
6,1799-12-02,N000086,Wilson Cary Nicholas,VA,2,Republican,Republican,1761-01-31,38,305,38.8356
6,1799-12-02,S000150,James Schureman,NJ,1,Federalist,Federalist,1756-02-12,43,293,43.8027
6,1799-12-02,W000287,William Hill Wells,DE,2,Federalist,Federalist,1769-01-07,30,329,30.9014
6,1799-12-02,P000354,Charles Pinckney,SC,2,Republican,Republican,1757-10-26,42,37,42.1014
7,1801-12-07,H000841,John Eager Howard,MD,1,Federalist,Federalist,1752-06-04,49,186,49.5096
7,1801-12-07,C000369,Nathaniel Chipman,VT,1,Federalist,Federalist,1752-11-15,49,22,49.0603
7,1801-12-07,F000313,Theodore Foster,RI,1,Republican,Republican,1752-04-29,49,222,49.6082
7,1801-12-07,L000115,Henry Latimer,DE,1,Federalist,Federalist,1752-04-24,49,227,49.6219
7,1801-12-07,M000226,Stevens Thomson Mason,VA,1,Republican,Republican,1760-12-29,40,343,40.9397
7,1801-12-07,R000448,James Ross,PA,1,Federalist,Federalist,1762-07-12,39,148,39.4055
7,1801-12-07,B000929,John Brown,KY,2,Republican,Republican,1757-09-12,44,86,44.2356
7,1801-12-07,D000165,Jonathan Dayton,NJ,2,Federalist,Federalist,1760-10-16,41,52,41.1425
7,1801-12-07,G000427,Ray Greene,RI,2,Federalist,Federalist,1765-02-02,36,308,36.8438
7,1801-12-07,L000364,Samuel Livermore,NH,2,Federalist,Federalist,1732-05-14,69,207,69.5671
7,1801-12-07,F000301,Dwight Foster,MA,2,Federalist,Federalist,1757-12-07,44,0,44.0
7,1801-12-07,M000976,Gouverneur Morris,NY,1,Federalist,Federalist,1752-01-31,49,310,49.8493
7,1801-12-07,B000787,John Breckinridge,KY,3,Republican,Republican,1760-12-02,41,5,41.0137
7,1801-12-07,E000114,Christopher Ellery,RI,2,Republican,Republican,1768-11-01,33,36,33.0986
7,1801-12-07,J000017,James Jackson,GA,3,Republican,Republican,1757-09-21,44,77,44.211
7,1801-12-07,L000401,George Logan,PA,3,Republican,Republican,1753-09-09,48,89,48.2438
7,1801-12-07,M001066,John Peter Gabriel Muhlenberg,PA,3,Democratic-Republican,Democratic Republican,1746-10-01,55,67,55.1836
7,1801-12-07,O000041,Aaron Ogden,NJ,1,Federalist,Federalist,1756-12-03,45,4,45.011
7,1801-12-07,O000060,Simeon Olcott,NH,2,Federalist,Federalist,1735-10-01,66,67,66.1836
7,1801-12-07,S000312,James Sheafe,NH,3,Federalist,Federalist,1755-11-16,46,21,46.0575
7,1801-12-07,T000348,Uriah Tracy,CT,3,Federalist,Federalist,1755-02-02,46,308,46.8438
7,1801-12-07,A000282,John Armstrong,NY,3,Republican,Republican,1758-11-25,43,12,43.0329
7,1801-12-07,B000084,Abraham Baldwin,GA,2,Republican,Republican,1754-11-22,47,15,47.0411
7,1801-12-07,B000745,Stephen Row Bradley,VT,3,Republican,Republican,1754-02-20,47,290,47.7945
7,1801-12-07,F000344,Jesse Franklin,NC,2,Republican,Republican,1760-03-24,41,258,41.7068
7,1801-12-07,A000197,Joseph Anderson,TN,1,Republican,Republican,1757-11-05,44,32,44.0877
7,1801-12-07,H000618,James Hillhouse,CT,1,Federalist,Federalist,1754-10-20,47,48,47.1315
7,1801-12-07,N000086,Wilson Cary Nicholas,VA,2,Republican,Republican,1761-01-31,40,310,40.8493
7,1801-12-07,S000150,James Schureman,NJ,1,Federalist,Federalist,1756-02-12,45,298,45.8164
7,1801-12-07,S000955,David Stone,NC,3,Republican,Republican,1770-02-17,31,293,31.8027
7,1801-12-07,W000287,William Hill Wells,DE,2,Federalist,Federalist,1769-01-07,32,334,32.9151
7,1801-12-07,M000221,Jonathan Mason,MA,1,Federalist,Federalist,1756-09-12,45,86,45.2356
7,1801-12-07,W000768,Robert Wright,MD,3,Republican,Republican,1752-11-20,49,17,49.0466
8,1803-10-17,B000929,John Brown,KY,2,Republican,Republican,1757-09-12,46,35,46.0956
8,1803-10-17,D000165,Jonathan Dayton,NJ,2,Federalist,Federalist,1760-10-16,43,1,43.0027
8,1803-10-17,F000301,Dwight Foster,MA,2,Federalist,Federalist,1757-12-07,45,314,45.8603
8,1803-10-17,B000787,John Breckinridge,KY,3,Republican,Republican,1760-12-02,42,319,42.874
8,1803-10-17,E000114,Christopher Ellery,RI,2,Republican,Republican,1768-11-01,34,350,34.9589
8,1803-10-17,J000017,James Jackson,GA,3,Republican,Republican,1757-09-21,46,26,46.071
8,1803-10-17,L000401,George Logan,PA,3,Republican,Republican,1753-09-09,50,38,50.1038
8,1803-10-17,O000060,Simeon Olcott,NH,2,Federalist,Federalist,1735-10-01,68,16,68.0437
8,1803-10-17,T000348,Uriah Tracy,CT,3,Federalist,Federalist,1755-02-02,48,257,48.7041
8,1803-10-17,B001186,Pierce Butler,SC,3,Republican,Republican,1744-07-11,59,98,59.2678
8,1803-10-17,C000525,De Witt Clinton,NY,3,Republican,Republican,1769-03-02,34,229,34.6257
8,1803-10-17,P000393,William Plumer,NH,3,Federalist,Federalist,1759-06-25,44,114,44.3115
8,1803-10-17,B000049,Theodorus Bailey,NY,1,Republican,Republican,1758-10-12,45,5,45.0137
8,1803-10-17,M000029,Samuel Maclay,PA,1,Republican,Republican,1741-06-17,62,122,62.3333
8,1803-10-17,P000468,Samuel John Potter,RI,1,Republican,Republican,1753-06-29,50,110,50.3005
8,1803-10-17,S000557,Israel Smith,VT,1,Republican,Republican,1759-04-04,44,196,44.5355
8,1803-10-17,V000083,Abraham Bedford Venable,VA,1,Republican,Republican,1758-11-20,44,331,44.9068
8,1803-10-17,B000084,Abraham Baldwin,GA,2,Republican,Republican,1754-11-22,48,329,48.9014
8,1803-10-17,S001073,Thomas Sumter,SC,2,Republican,Republican,1734-08-14,69,64,69.1749
8,1803-10-17,B000745,Stephen Row Bradley,VT,3,Republican,Republican,1754-02-20,49,239,49.6548
8,1803-10-17,F000344,Jesse Franklin,NC,2,Republican,Republican,1760-03-24,43,207,43.5656
8,1803-10-17,A000197,Joseph Anderson,TN,1,Republican,Republican,1757-11-05,45,346,45.9479
8,1803-10-17,H000618,James Hillhouse,CT,1,Federalist,Federalist,1754-10-20,48,362,48.9918
8,1803-10-17,N000086,Wilson Cary Nicholas,VA,2,Republican,Republican,1761-01-31,42,259,42.7096
8,1803-10-17,W000750,Thomas Worthington,OH,3,Republican,Republican,1773-07-16,30,93,30.2541
8,1803-10-17,S000955,David Stone,NC,3,Republican,Republican,1770-02-17,33,242,33.663
8,1803-10-17,W000287,William Hill Wells,DE,2,Federalist,Federalist,1769-01-07,34,283,34.7753
8,1803-10-17,P000324,Timothy Pickering,MA,2,Federalist,Federalist,1745-07-17,58,92,58.2514
8,1803-10-17,C000671,John Condit,NJ,1,Republican,Republican,1755-07-08,48,101,48.276
8,1803-10-17,W000768,Robert Wright,MD,3,Republican,Republican,1752-11-20,50,331,50.9068
8,1803-10-17,T000086,John Taylor,VA,1,Republican,Republican,1753-12-19,49,302,49.8274
8,1803-10-17,S000609,Samuel Smith,MD,1,Republican,Republican,1752-07-27,51,82,51.224
8,1803-10-17,A000041,John Quincy Adams,MA,1,Federalist,Federalist,1767-07-11,36,98,36.2678
9,1805-12-02,B000787,John Breckinridge,KY,3,Republican,Republican,1760-12-02,45,0,45.0
9,1805-12-02,J000017,James Jackson,GA,3,Republican,Republican,1757-09-21,48,72,48.1973
9,1805-12-02,L000401,George Logan,PA,3,Republican,Republican,1753-09-09,52,84,52.2301
9,1805-12-02,T000348,Uriah Tracy,CT,3,Federalist,Federalist,1755-02-02,50,303,50.8301
9,1805-12-02,P000393,William Plumer,NH,3,Federalist,Federalist,1759-06-25,46,160,46.4384
9,1805-12-02,M000029,Samuel Maclay,PA,1,Republican,Republican,1741-06-17,64,168,64.4603
9,1805-12-02,S000557,Israel Smith,VT,1,Republican,Republican,1759-04-04,46,242,46.663
9,1805-12-02,H000870,Benjamin Howland,RI,1,Republican,Republican,1755-07-27,50,128,50.3507
9,1805-12-02,B000084,Abraham Baldwin,GA,2,Republican,Republican,1754-11-22,51,10,51.0274
9,1805-12-02,F000074,James Fenner,RI,2,Republican,Republican,1771-01-22,34,314,34.8603
9,1805-12-02,K000246,Aaron Kitchell,NJ,2,Republican,Republican,1744-07-10,61,145,61.3973
9,1805-12-02,S000524,Daniel Smith,TN,2,Republican,Republican,1748-10-29,57,34,57.0932
9,1805-12-02,S001073,Thomas Sumter,SC,2,Republican,Republican,1734-08-14,71,110,71.3014
9,1805-12-02,T000249,Buckner Thruston,KY,2,Republican,Republican,1763-02-09,42,296,42.811
9,1805-12-02,B000745,Stephen Row Bradley,VT,3,Republican,Republican,1754-02-20,51,285,51.7808
9,1805-12-02,S000566,John Smith,NY,3,Republican,Republican,1752-02-12,53,293,53.8027
9,1805-12-02,A000197,Joseph Anderson,TN,1,Republican,Republican,1757-11-05,48,27,48.074
9,1805-12-02,H000618,James Hillhouse,CT,1,Federalist,Federalist,1754-10-20,51,43,51.1178
9,1805-12-02,W000750,Thomas Worthington,OH,3,Republican,Republican,1773-07-16,32,139,32.3808
9,1805-12-02,B000249,James Asheton Bayard,DE,2,Federalist,Federalist,1767-07-28,38,127,38.3479
9,1805-12-02,G000183,William Branch Giles,VA,2,Republican,Republican,1762-08-12,43,112,43.3068
9,1805-12-02,G000215,Nicholas Gilman,NH,2,Republican,Republican,1755-08-03,50,121,50.3315
9,1805-12-02,M000831,Samuel Latham Mitchill,NY,1,Republican,Republican,1764-08-20,41,104,41.2849
9,1805-12-02,T000423,James Turner,NC,2,Republican,Republican,1766-12-20,38,347,38.9507
9,1805-12-02,S000955,David Stone,NC,3,Republican,Republican,1770-02-17,35,288,35.789
9,1805-12-02,P000324,Timothy Pickering,MA,2,Federalist,Federalist,1745-07-17,60,138,60.3781
9,1805-12-02,C000671,John Condit,NJ,1,Republican,Republican,1755-07-08,50,147,50.4027
9,1805-12-02,W000768,Robert Wright,MD,3,Republican,Republican,1752-11-20,53,12,53.0329
9,1805-12-02,G000005,John Gaillard,SC,3,Republican,Republican,1765-09-05,40,88,40.2411
9,1805-12-02,S000609,Samuel Smith,MD,1,Republican,Republican,1752-07-27,53,128,53.3507
9,1805-12-02,A000026,John Adair,KY,3,Republican,Republican,1757-01-09,48,327,48.8959
9,1805-12-02,A000041,John Quincy Adams,MA,1,Federalist,Federalist,1767-07-11,38,144,38.3945
10,1807-10-26,M000029,Samuel Maclay,PA,1,Republican,Republican,1741-06-17,66,131,66.3579
10,1807-10-26,S000557,Israel Smith,VT,1,Republican,Republican,1759-04-04,48,205,48.5601
10,1807-10-26,H000870,Benjamin Howland,RI,1,Republican,Republican,1755-07-27,52,91,52.2486
10,1807-10-26,F000074,James Fenner,RI,2,Republican,Republican,1771-01-22,36,277,36.7589
10,1807-10-26,K000246,Aaron Kitchell,NJ,2,Republican,Republican,1744-07-10,63,108,63.2951
10,1807-10-26,S000524,Daniel Smith,TN,2,Republican,Republican,1748-10-29,58,362,58.9918
10,1807-10-26,S001073,Thomas Sumter,SC,2,Republican,Republican,1734-08-14,73,73,73.1995
10,1807-10-26,T000249,Buckner Thruston,KY,2,Republican,Republican,1763-02-09,44,259,44.7096
10,1807-10-26,B000745,Stephen Row Bradley,VT,3,Republican,Republican,1754-02-20,53,248,53.6795
10,1807-10-26,F000344,Jesse Franklin,NC,3,Republican,Republican,1760-03-24,47,216,47.5902
10,1807-10-26,G000293,Chauncey Goodrich,CT,3,Federalist,Federalist,1759-10-20,48,6,48.0164
10,1807-10-26,G000442,Andrew Gregg,PA,3,Republican,Republican,1755-06-10,52,138,52.377
10,1807-10-26,J000220,George Jones,GA,2,Republican,Republican,1766-02-25,41,243,41.6658
10,1807-10-26,M000240,Elisha Mathewson,RI,2,Republican,Republican,1767-04-18,40,191,40.5219
10,1807-10-26,P000067,Nahum Parker,NH,3,Republican,Republican,1760-03-04,47,236,47.6448
10,1807-10-26,S000566,John Smith,NY,3,Republican,Republican,1752-02-12,55,256,55.7014
10,1807-10-26,T000268,Edward Tiffin,OH,3,Republican,Republican,1766-06-19,41,129,41.3525
10,1807-10-26,A000197,Joseph Anderson,TN,1,Republican,Republican,1757-11-05,49,355,49.9726
10,1807-10-26,H000618,James Hillhouse,CT,1,Federalist,Federalist,1754-10-20,53,6,53.0164
